method,stage,stage_order,x,scientificName,species,sp_persist
pipe,1,1,4.81480209504086,Philepitta castanea,Philepitta_castanea,0.999999999298268
pipe,1,1,4.81480209504086,Ploceus nelicourvi,Ploceus_nelicourvi,1
pipe,1,1,4.81480209504086,Polyboroides radiatus,Polyboroides_radiatus,0.999930790749088
pipe,1,1,4.81480209504086,Pseudobias wardi,Pseudobias_wardi,1
pipe,1,1,4.81480209504086,Pterocles personatus,Pterocles_personatus,0.995633067437116
pipe,1,1,4.81480209504086,Randia pseudozosterops,Randia_pseudozosterops,1
pipe,1,1,4.81480209504086,Sarothrura insularis,Sarothrura_insularis,0.999999999969126
pipe,1,1,4.81480209504086,Setifer setosus,Setifer_setosus,1
pipe,1,1,4.81480209504086,Tenrec ecaudatus,Tenrec_ecaudatus,1
pipe,1,1,4.81480209504086,Treron australis,Treron_australis,0.999857116736382
pipe,1,1,4.81480209504086,Turnix nigricollis,Turnix_nigricollis,0.999999999905907
pipe,1,1,4.81480209504086,Tylas eduardi,Tylas_eduardi,1
pipe,1,1,4.81480209504086,Vanga curvirostris,Vanga_curvirostris,0.99999999955796
pipe,1,1,4.81480209504086,Varecia rubra,Varecia_rubra,1
pipe,1,1,4.81480209504086,Varecia variegata,Varecia_variegata,1
pipe,1,1,4.81480209504086,Xanthomixis cinereiceps,Xanthomixis_cinereiceps,1
pipe,1,1,4.81480209504086,Xanthomixis zosterops,Xanthomixis_zosterops,1
pipe,2,2,9.55800057489893,Accipiter henstii,Accipiter_henstii,0.943959944087264
pipe,2,2,9.55800057489893,Accipiter madagascariensis,Accipiter_madagascariensis,0.993594990514952
pipe,2,2,9.55800057489893,Acrocephalus newtoni,Acrocephalus_newtoni,1
pipe,2,2,9.55800057489893,Alectroenas madagascariensis,Alectroenas_madagascariensis,0.999998659431645
pipe,2,2,9.55800057489893,Apus balstoni,Apus_balstoni,1
pipe,2,2,9.55800057489893,Artamella viridis,Artamella_viridis,1
pipe,2,2,9.55800057489893,Asio madagascariensis,Asio_madagascariensis,0.982789840323275
pipe,2,2,9.55800057489893,Atelornis crossleyi,Atelornis_crossleyi,1
pipe,2,2,9.55800057489893,Atelornis pittoides,Atelornis_pittoides,1
pipe,2,2,9.55800057489893,Athene superciliaris,Athene_superciliaris,0.999999995426883
pipe,2,2,9.55800057489893,Aviceda madagascariensis,Aviceda_madagascariensis,0.997870782783596
pipe,2,2,9.55800057489893,Bernieria madagascariensis,Bernieria_madagascariensis,1
pipe,2,2,9.55800057489893,Brachypteracias leptosomus,Brachypteracias_leptosomus,0.999999998820981
