alpha,beta_logM,sigma
-0.608763574228558,-0.07628566256565562,0.2912567555870348
0.07908773660991443,-0.3252121018401942,0.24956808217934356
0.18479252635472632,-0.35007333358890524,0.23386592942401455
0.24149761619521992,-0.32462753993345633,0.2865503344600851
-0.27708782294254763,-0.18185441899838448,0.35487659651855025
-0.09053483844424813,-0.25168076762491426,0.22264707026239197
-0.3490982972422742,-0.1494517354982187,0.2654040719803057
-0.4839108983594787,-0.10276302106021881,0.22981892499549456
0.11362020213206227,-0.2684590059172226,0.24493982001574532
0.02948451893161446,-0.27907454180439195,0.23687419902672854
0.11359535447992959,-0.2886976016559831,0.20632758739932816
0.30785050262328567,-0.38515257177447204,0.1783151617478892
0.1406524206612634,-0.3424118993887007,0.22133181590884926
0.549165489357185,-0.42063342548514526,0.43714388371034385
0.9964203494923837,-0.6470534507160415,0.3217503135411216
0.005141677133759515,-0.35790466149384614,0.4029264031966745
-0.05079778181815957,-0.28261749896693,0.2522463936112861
0.45719285802876614,-0.42349495802462495,0.25444728107198417
0.5749915177538589,-0.45098468530928276,0.3649878232678361
