alpha,beta_logM,beta_ilr1,beta_ilr2,sigma
0.0353404044488496,-0.1734455066390379,0.05994534490980996,0.09048514514373344,0.30591557134037256
0.07888960190323487,-0.19688174372398387,0.05645197622223673,0.09089682182150455,0.2871755148661689
-0.01871314670154815,-0.15835775450538214,0.06650071192866483,0.05615065031307469,0.27940986429497816
-0.09152010617400949,-0.12283533659894051,0.05227719950066368,0.06735687113345745,0.3067998238899694
0.031939809440962204,-0.20051375425788132,0.07880967372933483,0.09397476405722908,0.35072629749936857
0.03499742642028936,-0.18426231564544754,0.06712553008692097,0.07766585123928561,0.2828699026522178
-1.8396070762025183e-4,-0.16475666819258336,0.079025424754253,0.07148318466309572,0.29077783758615017
-0.011839070142940031,-0.17073731875778209,0.060748610987072155,0.04789249233973446,0.31639020368763954
-0.09797767185471265,-0.13915730391689957,0.08149569060105366,0.05589925448183033,0.29087871687512334
-0.06736680043006493,-0.13025244867747338,0.07409437042549016,0.05450924077790019,0.2906116875692436
1.20365104652978e-4,-0.1723853006785967,0.09662046228244052,0.08267392335187516,0.2892297849321737
-5.566281129894546e-4,-0.18380790107298833,0.08303843007964944,0.06421210166402662,0.27794762727396066
0.09213569984071482,-0.19671237172306782,0.08837153816512537,0.09547824456959317,0.29429874515470184
-0.009415072069265425,-0.16342277315908518,0.046974815119446456,0.074623825869976,0.2936022259718009
0.0059499808419269384,-0.1763495207334209,0.0657043327775194,0.06380013727286943,0.27840900649610256
5.341993687820422e-4,-0.1684837705670005,0.07960154269712785,0.08459913177852177,0.2706530218646177
-0.12666562030564496,-0.12310483796629265,0.04491004930099261,0.017227799950807712,0.2891806508496825
-0.16234886845460625,-0.09555487818466574,0.03684631912111463,0.04343141781067383,0.298600037125524
-0.0036897681657752637,-0.16023310701155322,0.08017945766410453,0.09902392424802833,0.277142113856079
0.0404954258817209,-0.20080326229514275,0.08112324386205279,0.0746180865197393,0.31233438062731167
0.04150244994261678,-0.18579070203948264,0.08820972246877282,0.06109852371033181,0.2780791485376543
-0.1022063965857075,-0.12407188039909497,0.06006842767339625,0.08206994980778498,0.29991731202149
-0.06603744687042716,-0.13127821586876842,0.0407671893749062,0.032635324405244165,0.2803048335086341
-0.052943822683805736,-0.14047002705698697,0.06131312772049582,0.07468700395245179,0.28336522472730225
-0.11081420872514208,-0.1185683883880208,0.042095084031579195,0.06247198610721853,0.27723429875328376
-0.09497407679271276,-0.13043144428887574,0.06380272094483148,0.0769518191397108,0.2687867545891778
-0.05768494500300045,-0.17149405865294087,0.06928898369066813,0.037872595786529045,0.29038550628871174
-0.04595510460405046,-0.15852177560008046,0.07880527832272219,0.05505005800664542,0.2820016011159907
0.07334043094888076,-0.18929658548876419,0.039681894630358164,0.10358152008411714,0.2760772114270501
0.15433855236157434,-0.22362755067948858,0.10088158696500137,0.13485630793010944,0.2978808519688575
0.09148419767563756,-0.20293159621386475,0.045269912954340574,0.08758213675910485,0.28619531030524753
0.06084533889843147,-0.18099346100997946,0.09095943894654908,0.08248276082077707,0.2797647307898496
-3.714353105423035e-4,-0.17450469021147236,0.05888548734835041,0.07830419316254272,0.2962456310112851
0.011775605911578947,-0.16835120010289037,0.07914888856525254,0.0949424170563921,0.2985636907745548
0.06099565524570147,-0.19072281764394403,0.057100224473601344,0.08659909126662602,0.28600383535754853
0.07469530248731415,-0.18866231192974947,0.06841430624050324,0.09363874300640611,0.31398827637084126
0.0795527393284424,-0.1950875696056053,0.08361661746199568,0.09785812106437256,0.2870056571282013
0.06968170946923977,-0.20886122630306972,0.10581352315108875,0.07027997738430841,0.2920120694879741
-0.029836334104179338,-0.15667907519371227,0.04348269274565227,0.07032494102601008,0.30167172697521394
-0.005820975501601796,-0.15642940404899963,0.07762624151305977,0.08179606814106634,0.3042485836080521
0.07904807475132636,-0.2161873576949128,0.08748557997114782,0.08074095942663254,0.295214681697532
-0.03279499249996104,-0.14740122576189466,0.06805455620668685,0.058493184152375775,0.2982231049396001
0.06818666529848216,-0.20662587309725186,0.08576986379342834,0.08919490792349961,0.2860646259538747
0.0464515773089835,-0.18292603229849097,0.09969778381619046,0.09784506635863457,0.2631149147211783
0.09292794535015317,-0.19526754725485726,0.06806187640521108,0.07481243907849178,0.3114951097443626
0.07395096897431999,-0.1825439730513253,0.10141011865735808,0.09379732989371464,0.2786393153977406
0.04293679367563268,-0.18710166153674393,0.07129130894815933,0.05188057499089635,0.2933740128577332
-0.028332557223416262,-0.15336292374005597,0.07595257084838843,0.0976923898941209,0.296433590367543
0.08543624546626193,-0.21326266500471996,0.08891309397620706,0.10769391115614754,0.26754149483826134
0.06374286089540773,-0.20038621409531682,0.06345651753345578,0.08132606286652097,0.27720142128992037
-0.022405128795950198,-0.17403003433155767,0.09145813404504,0.060920702493380156,0.2770917963942295
0.02008472372818935,-0.17261580701407034,0.08479518708903301,0.0735214276968307,0.27354090239458784
0.10307737036918899,-0.21376412244013432,0.05513423596574858,0.0989185347101077,0.2792553033672345
0.06550822003579086,-0.18893918202623144,0.07891185567106317,0.09441932199186207,0.29728621334028926
0.01765702176604611,-0.1737953742516959,0.11464853629171948,0.08670678346732746,0.2869785318530337
0.045622303203593256,-0.17951624621783538,0.09553650483820186,0.06324491806592923,0.2823573015919567
0.08863407367257084,-0.20995046033116177,0.10885779872850863,0.07971634553504223,0.27043196696398303
-0.03554180001802982,-0.15972806019490454,0.04501656877070159,0.061257504798028876,0.28038623676701563
0.03621682350499725,-0.1730476630352062,0.0812415449938484,0.08291108726335389,0.28271023848921606
0.07261039222375823,-0.17477398585207304,0.08350232856325104,0.10968431164638379,0.29421751712174715
-0.0010775112354749852,-0.16362160669000816,0.09360936355284676,0.08338426623869759,0.2859269160322608
0.017296377512947277,-0.17070034008302254,0.06320562981687772,0.12180247317772774,0.28251939450929764
-0.07478198832686785,-0.13601048806298943,0.06052930135323639,0.057558814036047845,0.3092763541595223
-0.035196668344189254,-0.17029480610478512,0.06768827554973808,0.0798477155888967,0.28611150683079173
-0.10019527980494192,-0.1322652815609439,0.05045972641960697,0.05250183091053066,0.2732201825442493
-0.1434214559248242,-0.11385510684368894,0.07847152198254437,0.0417148130561414,0.3012993808007878
